problem,ATTICUS_score,Sol_raw_score,delta,ATTICUS_claimed,ATTICUS_actual,Sol_claimed,Sol_actual
P01,97,94,3,COMPLETE,COMPLETE,COMPLETE,COMPLETE
P02,86,98,-12,COMPLETE,INCOMPLETE,COMPLETE,COMPLETE
P03,89,88,1,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
P04,87,82,5,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
P05,91,94,-3,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE
P06,99,90,9,COMPLETE,COMPLETE,INCOMPLETE,INCOMPLETE
P07,99,98,1,COMPLETE,COMPLETE,COMPLETE,COMPLETE
P08,79,85,-6,COMPLETE,INCOMPLETE,COMPLETE,INCOMPLETE
P09,98,76,22,COMPLETE,COMPLETE,COMPLETE,INCOMPLETE
P10,79,68,11,COMPLETE,INCOMPLETE,COMPLETE,INCOMPLETE
