raw_submitter,submission_letter,problem,raw_8gram_containment_in_standardized,raw_chars,standardized_chars
IMProofBench,A,1,0.9939024390243902,7300,7362
IMProofBench,A,2,0.9964717741935484,12520,12582
IMProofBench,A,3,0.9955474070193818,26302,26250
IMProofBench,A,4,0.9956413449564134,10888,10950
IMProofBench,A,5,0.9978138663335415,19119,19181
IMProofBench,A,6,0.0,210,236
IMProofBench,A,7,0.993960310612597,7218,7280
IMProofBench,A,8,0.9973574933937335,17778,17840
IMProofBench,A,9,0.9925531914893617,6511,6573
IMProofBench,A,10,0.9957480733457348,23695,23652
UCLA,B,1,0.9926116286540315,22213,22096
UCLA,B,2,0.9948172394980905,24099,24058
UCLA,B,3,0.9904761904761905,14068,13990
UCLA,B,4,1.0,12126,12381
UCLA,B,5,0.9937214611872146,26649,26564
UCLA,B,6,0.9903647625602202,17412,17317
UCLA,B,7,0.9961654341276363,23904,23886
UCLA,B,8,0.9954545454545455,28101,28047
UCLA,B,9,0.9903846153846154,18662,18571
UCLA,B,10,1.0,6482,6833
OpenAI,C,1,0.9869706840390879,10246,10172
OpenAI,C,2,0.9906803355079217,14962,14912
OpenAI,C,3,0.9818435754189944,5204,5174
OpenAI,C,4,0.976083707025411,4953,4905
OpenAI,C,5,0.9885844748858448,13810,13738
OpenAI,C,6,0.9859649122807017,9102,9044
OpenAI,C,7,0.9873015873015873,8250,8215
OpenAI,C,8,0.9891676168757126,13767,13733
OpenAI,C,9,0.9851398601398601,7485,7425
OpenAI,C,10,0.9905973451327433,12583,12477
Princeton,D,1,0.9841509433962264,10231,10191
Princeton,D,2,0.9868791002811621,7617,7588
Princeton,D,3,0.9683257918552036,3197,3174
Princeton,D,4,0.9630314232902033,4162,4131
Princeton,D,5,0.984629294755877,7084,7048
Princeton,D,6,0.9855630413859481,6042,6019
Princeton,D,7,0.9872754491017964,8510,8489
Princeton,D,8,0.985494880546075,7803,7764
Princeton,D,9,0.970954356846473,5182,5088
Princeton,D,10,0.9909526343799894,12524,12484
