problem,ATTICUS_score,Sol_raw_score,delta_ATTICUS_minus_Sol,ATTICUS_claimed_status,ATTICUS_actual_status,Sol_claimed_status,Sol_actual_status,official_full_passes_out_of_4
P01,97,94,3,COMPLETE,COMPLETE,COMPLETE,COMPLETE,3
P02,86,98,-12,COMPLETE,INCOMPLETE,COMPLETE,COMPLETE,3
P03,89,88,1,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,0
P04,87,82,5,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,0
P05,91,94,-3,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,1
P06,99,90,9,COMPLETE,COMPLETE,INCOMPLETE,INCOMPLETE,2
P07,99,98,1,COMPLETE,COMPLETE,COMPLETE,COMPLETE,4
P08,79,85,-6,COMPLETE,INCOMPLETE,COMPLETE,INCOMPLETE,0
P09,98,76,22,COMPLETE,COMPLETE,COMPLETE,INCOMPLETE,3
P10,79,68,11,COMPLETE,INCOMPLETE,COMPLETE,INCOMPLETE,0
