problem,condition,correctness_40,completeness_20,unsupported_claim_resistance_10,error_self_check_10,calibration_10,exposition_rigor_10,total_100
P01,ATTICUS,40,19,10,9,10,9,97
P01,Sol_raw,38,19,9,9,10,9,94
P02,ATTICUS,36,17,7,8,10,8,86
P02,Sol_raw,40,20,10,9,10,9,98
P03,ATTICUS,40,9,10,10,10,10,89
P03,Sol_raw,40,9,10,10,10,9,88
P04,ATTICUS,37,12,9,10,10,9,87
P04,Sol_raw,35,8,10,10,10,9,82
P05,ATTICUS,38,14,10,10,10,9,91
P05,Sol_raw,39,16,10,10,10,9,94
P06,ATTICUS,40,20,10,10,10,9,99
P06,Sol_raw,40,11,10,10,10,9,90
P07,ATTICUS,40,20,10,10,10,9,99
P07,Sol_raw,40,20,10,9,10,9,98
P08,ATTICUS,38,14,7,7,6,7,79
P08,Sol_raw,39,15,8,8,6,9,85
P09,ATTICUS,40,20,9,10,10,9,98
P09,Sol_raw,40,11,6,7,6,6,76
P10,ATTICUS,37,13,6,8,6,9,79
P10,Sol_raw,34,9,5,7,5,8,68
